study,variable_name,label,data_type,allowed_values_or_range,missing_value,analysis_role,source_variable,missing_n
Study 2,subjective_time_post,Mean subjective-duration rating at posttest,decimal,0-100,blank,exploratory outcome,mean of three duration items transformed to 0-100,0
Study 2,purpose_pre_01,Stated purpose for intertemporal-choice item 1 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_1,0

Study 2,purpose_pre_02,Stated purpose for intertemporal-choice item 2 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_2,0

Study 2,purpose_pre_03,Stated purpose for intertemporal-choice item 3 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_3,0

Study 2,purpose_pre_04,Stated purpose for intertemporal-choice item 4 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_4,0

Study 2,purpose_pre_05,Stated purpose for intertemporal-choice item 5 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_5,0

Study 2,purpose_pre_06,Stated purpose for intertemporal-choice item 6 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_6,0

Study 2,purpose_pre_07,Stated purpose for intertemporal-choice item 7 at pretest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_pre_7,0

Study 2,intention_pre_01,Implementation-intention rating for item 1 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_1,0

Study 2,intention_pre_02,Implementation-intention rating for item 2 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_2,0

Study 2,intention_pre_03,Implementation-intention rating for item 3 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_3,0

Study 2,intention_pre_04,Implementation-intention rating for item 4 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_4,0

Study 2,intention_pre_05,Implementation-intention rating for item 5 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_5,0

Study 2,intention_pre_06,Implementation-intention rating for item 6 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_6,0

Study 2,intention_pre_07,Implementation-intention rating for item 7 at pretest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_pre_7,0

Study 2,purpose_post_01,Stated purpose for intertemporal-choice item 1 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_1,0

Study 2,purpose_post_02,Stated purpose for intertemporal-choice item 2 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_2,0

Study 2,purpose_post_03,Stated purpose for intertemporal-choice item 3 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_3,0

Study 2,purpose_post_04,Stated purpose for intertemporal-choice item 4 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_4,0

Study 2,purpose_post_05,Stated purpose for intertemporal-choice item 5 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_5,0

Study 2,purpose_post_06,Stated purpose for intertemporal-choice item 6 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_6,0

Study 2,purpose_post_07,Stated purpose for intertemporal-choice item 7 at posttest,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,exploratory outcome,itc_purpose_post_7,0

Study 2,intention_post_01,Implementation-intention rating for item 1 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_1,0

Study 2,intention_post_02,Implementation-intention rating for item 2 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_2,0

Study 2,intention_post_03,Implementation-intention rating for item 3 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_3,0

Study 2,intention_post_04,Implementation-intention rating for item 4 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_4,0

Study 2,intention_post_05,Implementation-intention rating for item 5 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_5,0

Study 2,intention_post_06,Implementation-intention rating for item 6 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_6,0

Study 2,intention_post_07,Implementation-intention rating for item 7 at posttest,integer,1=unlikely; 2=possible; 3=very_likely,blank,exploratory outcome,itc_intention_post_7,0
Study 2 item-level,participant_id,Anonymous participant ID matching study2_public.csv,string,One of 184 public Study 2 IDs,blank,cluster identifier,participant_id,0
Study 2 item-level,wave,Assessment time point,category,pretest; posttest,blank,repeated-measures index,wave,0
Study 2 item-level,item,Intertemporal-choice item number,integer,1-7,blank,item fixed effect,item_number,0
Study 2 item-level,choice,Sooner-smaller or later-larger choice,category,SS; LL,blank,item-level outcome,choice_label,0
Study 2 item-level,choice_ss,Binary sooner-smaller choice indicator,integer,0=LL; 1=SS,blank,item-level outcome,choice_ss,0
Study 2 item-level,purpose,Coded stated use of the selected money,category,family_support; friends_or_gifts; immediate_consumption; learning_or_education; saving_for_future,blank,item-level associated variable,purpose_category,0
Study 2 item-level,implementation_intention,Intention rating for carrying out the stated use,integer,1=unlikely; 2=possible; 3=very_likely,blank,item-level associated outcome,implementation_intention_score,0

